id,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
0,15642345.0,Ikedinachukwu,659.0,France,Male,42.0,7.0,0.0,2.0,1.0,0.0,184843.77,0.0
1,15765311.0,Zikoranachidimma,749.0,France,Male,29.0,9.0,0.0,2.0,1.0,0.0,162960.05,0.0
2,15727499.0,Rizzo,590.0,France,Female,37.0,2.0,0.0,2.0,0.0,1.0,131804.86,0.0
3,15701166.0,Chidimma,477.0,Germany,Male,44.0,8.0,141078.37,1.0,1.0,0.0,60778.11,1.0
4,15574554.0,Obialo,584.0,Spain,Female,31.0,6.0,0.0,2.0,1.0,0.0,136050.77,0.0
5,15674678.0,Folliero,719.0,France,Male,29.0,1.0,0.0,2.0,1.0,1.0,188187.05,0.0
6,15572735.0,Toscani,583.0,France,Female,32.0,2.0,0.0,1.0,1.0,0.0,66485.26,1.0
7,15758836.0,Trevisani,596.0,France,Male,32.0,4.0,123971.51,1.0,1.0,0.0,130755.34,0.0
8,15588580.0,Pagnotto,663.0,France,Male,37.0,8.0,0.0,2.0,1.0,1.0,113868.2,0.0
9,15608916.0,Y?,584.0,France,Female,38.0,2.0,0.0,2.0,1.0,1.0,1710.89,0.0
10,15691808.0,Chidimma,681.0,France,Female,41.0,6.0,0.0,2.0,1.0,0.0,156768.45,0.0
11,15613097.0,Ts'ao,561.0,France,Male,35.0,9.0,0.0,2.0,0.0,0.0,121681.19,0.0
12,15592765.0,O'Sullivan,589.0,France,Male,28.0,6.0,0.0,2.0,1.0,0.0,177670.57,0.0
13,15650288.0,Ch'eng,543.0,France,Female,32.0,2.0,0.0,2.0,1.0,0.0,93777.61,0.0
14,15782454.0,Ch'in,521.0,France,Female,33.0,3.0,167557.12,1.0,0.0,1.0,90928.48,0.0
15,15718216.0,Palermo,509.0,France,Male,28.0,2.0,0.0,2.0,1.0,1.0,47952.45,0.0
16,15735388.0,Hsiao,756.0,Spain,Male,51.0,5.0,0.0,1.0,0.0,0.0,51387.1,1.0
17,15756056.0,Maclean,491.0,Germany,Male,37.0,4.0,143835.52,2.0,1.0,1.0,125870.5,0.0
18,15702430.0,Onuchukwu,684.0,Spain,Female,43.0,3.0,0.0,2.0,1.0,0.0,95500.98,0.0
19,15583863.0,Hs?,657.0,Germany,Male,37.0,1.0,131519.59,1.0,1.0,0.0,141798.98,1.0
20,15788775.0,Kao,694.0,France,Female,36.0,6.0,0.0,2.0,0.0,1.0,129964.94,0.0
21,15627262.0,Nwabugwu,646.0,France,Male,71.0,3.0,0.0,2.0,1.0,1.0,116973.48,0.0
22,15696900.0,Shao,607.0,Spain,Male,38.0,7.0,0.0,2.0,1.0,1.0,83629.4,0.0
23,15654462.0,P'eng,667.0,France,Female,34.0,2.0,0.0,2.0,1.0,0.0,117723.25,0.0
24,15657535.0,T'ao,632.0,Germany,Male,50.0,2.0,125889.3,1.0,0.0,1.0,645.61,1.0
25,15764491.0,Nwankwo,656.0,Spain,Female,52.0,9.0,0.0,2.0,1.0,0.0,51695.41,1.0
26,15779913.0,Tseng,763.0,Spain,Female,25.0,9.0,83347.25,1.0,1.0,0.0,71333.44,0.0
27,15660301.0,Hs?,611.0,Spain,Female,48.0,3.0,102773.15,1.0,0.0,0.0,108747.12,1.0
28,15597906.0,Y?,841.0,Spain,Female,28.0,9.0,0.0,1.0,1.0,0.0,172576.43,1.0
29,15584580.0,T'ien,735.0,France,Female,51.0,1.0,151766.71,1.0,0.0,0.0,41970.72,1.0
30,15757541.0,Chukwualuka,689.0,Spain,Female,34.0,4.0,0.0,1.0,1.0,0.0,180622.02,0.0
31,15733883.0,Toscani,687.0,Spain,Female,31.0,3.0,0.0,2.0,1.0,1.0,38794.69,0.0
32,15581290.0,Iadanza,639.0,Spain,Male,26.0,2.0,0.0,2.0,1.0,1.0,116503.92,0.0
33,15731751.0,Scott,696.0,France,Female,28.0,3.0,0.0,2.0,1.0,1.0,141501.45,0.0
34,15782531.0,Tsou,796.0,France,Female,42.0,10.0,0.0,2.0,1.0,1.0,149614.81,0.0
35,15595440.0,Uchenna,735.0,Germany,Male,28.0,7.0,171982.95,2.0,0.0,0.0,79495.01,0.0
36,15643826.0,Nwankwo,576.0,France,Male,36.0,4.0,0.0,2.0,1.0,0.0,67468.67,0.0
37,15690829.0,Fisk,644.0,France,Male,28.0,3.0,0.0,1.0,1.0,1.0,89801.9,0.0
38,15692235.0,Chidubem,543.0,Spain,Male,57.0,6.0,0.0,2.0,0.0,1.0,87412.24,0.0
39,15784099.0,Chukwudi,649.0,Spain,Male,26.0,2.0,0.0,2.0,0.0,1.0,145796.49,0.0
40,15666344.0,Mazzanti,741.0,Spain,Male,41.0,1.0,0.0,2.0,1.0,1.0,106663.46,0.0
41,15603594.0,Chukwuma,746.0,France,Female,36.0,7.0,0.0,2.0,1.0,1.0,159638.77,0.0
42,15572390.0,Trevisani,713.0,Germany,Male,42.0,4.0,97612.12,2.0,1.0,0.0,113481.02,0.0
43,15644896.0,Ch'eng,753.0,France,Female,54.0,5.0,0.0,1.0,1.0,0.0,160548.12,1.0
44,15748327.0,Ts'ui,719.0,Spain,Female,45.0,5.0,0.0,2.0,1.0,1.0,62702.38,0.0
45,15677796.0,Scott,673.0,France,Male,27.0,8.0,0.0,2.0,1.0,1.0,141180.66,0.0
46,15671162.0,Hs?,562.0,Germany,Female,34.0,9.0,102025.32,2.0,0.0,1.0,138399.67,0.0
47,15611669.0,Yudin,620.0,France,Male,30.0,3.0,0.0,2.0,1.0,1.0,187900.12,0.0
48,15781574.0,Lombardi,576.0,France,Male,33.0,1.0,0.0,2.0,1.0,0.0,16081.62,0.0
49,15589320.0,Chuang,588.0,Germany,Female,37.0,8.0,154969.13,1.0,1.0,0.0,103970.58,1.0
50,15680370.0,Maclean,659.0,France,Male,61.0,4.0,0.0,1.0,1.0,1.0,95936.84,0.0
51,15572390.0,Ugochukwu,595.0,France,Female,27.0,8.0,142571.37,1.0,0.0,1.0,101139.3,0.0
52,15751561.0,Yermolayeva,635.0,Spain,Male,38.0,2.0,0.0,1.0,1.0,1.0,119327.75,1.0
53,15731519.0,Obidimkpa,437.0,Spain,Female,43.0,4.0,0.0,1.0,0.0,1.0,183358.21,1.0
54,15759133.0,Chidi,674.0,France,Male,50.0,4.0,118613.32,1.0,1.0,0.0,131629.71,1.0
55,15603065.0,Ch'ien,572.0,France,Male,32.0,8.0,0.0,2.0,1.0,0.0,70784.13,0.0
56,15617348.0,Chiang,557.0,Germany,Female,47.0,9.0,111911.73,1.0,0.0,1.0,139911.95,1.0
57,15783097.0,Chidiebele,528.0,Spain,Female,44.0,9.0,0.0,2.0,1.0,0.0,59595.66,0.0
58,15622230.0,Ndubuisi,714.0,France,Male,27.0,4.0,0.0,2.0,1.0,1.0,60721.4,0.0
59,15732268.0,Ritchie,535.0,France,Female,46.0,1.0,85831.27,1.0,1.0,1.0,80181.12,0.0
60,15761717.0,Ch'in,661.0,France,Female,37.0,4.0,0.0,2.0,1.0,1.0,102057.86,0.0
61,15783030.0,Gaffney,684.0,France,Female,31.0,3.0,0.0,2.0,1.0,1.0,72927.68,0.0
62,15678886.0,T'ien,683.0,France,Female,55.0,1.0,0.0,1.0,1.0,0.0,138889.15,1.0
63,15596060.0,Onyemauchechukwu,727.0,Spain,Male,48.0,8.0,0.0,2.0,1.0,1.0,141796.84,1.0
64,15656592.0,McGregor,705.0,France,Male,40.0,1.0,0.0,1.0,0.0,0.0,126812.63,1.0
65,15793723.0,Mazzi,727.0,Spain,Male,24.0,3.0,0.0,2.0,0.0,0.0,121904.14,0.0
66,15706464.0,Nwokeocha,590.0,France,Female,42.0,1.0,71283.09,1.0,1.0,0.0,100557.03,0.0
67,15751180.0,Ch'ang,611.0,France,Male,32.0,5.0,0.0,2.0,0.0,1.0,81251.24,0.0
68,15641675.0,Fanucci,739.0,France,Female,49.0,1.0,0.0,1.0,1.0,0.0,165562.84,1.0
69,15611338.0,Chukwujamuike,637.0,Spain,Male,27.0,3.0,0.0,2.0,1.0,0.0,141558.04,0.0
70,15743817.0,Lo,755.0,France,Male,62.0,2.0,0.0,1.0,0.0,1.0,171457.06,1.0
71,15668767.0,Onyekachi,669.0,Spain,Male,42.0,1.0,0.0,2.0,1.0,1.0,142838.64,0.0
72,15581548.0,Chukwukadibia,739.0,France,Male,27.0,6.0,0.0,2.0,1.0,1.0,70954.41,0.0
73,15803479.0,Nucci,584.0,France,Male,29.0,4.0,0.0,2.0,0.0,1.0,126469.09,0.0
74,15581388.0,Milne,822.0,France,Male,22.0,2.0,129835.59,1.0,1.0,1.0,115719.08,0.0
75,15709034.0,Ch'in,677.0,France,Male,36.0,5.0,0.0,2.0,1.0,0.0,147090.34,0.0
76,15651389.0,Uchenna,671.0,France,Male,26.0,9.0,0.0,2.0,1.0,0.0,61531.86,0.0
77,15740072.0,McIntyre,612.0,France,Female,42.0,8.0,0.0,1.0,0.0,0.0,140889.64,1.0
78,15692406.0,Chin,629.0,France,Male,31.0,7.0,141792.61,1.0,1.0,1.0,54530.06,0.0
79,15682563.0,Uspenskaya,757.0,France,Male,39.0,2.0,0.0,2.0,1.0,0.0,179521.24,0.0
80,15612043.0,L?,662.0,Spain,Male,42.0,9.0,0.0,1.0,1.0,1.0,180598.86,0.0
81,15581626.0,Fomin,589.0,France,Female,34.0,6.0,0.0,2.0,1.0,1.0,50230.31,0.0
82,15711455.0,Chidubem,601.0,France,Male,52.0,3.0,0.0,2.0,1.0,1.0,168053.4,0.0
83,15597959.0,Hs?,635.0,France,Female,34.0,10.0,157842.08,1.0,0.0,1.0,61811.1,0.0
84,15733261.0,Nwachinemelu,635.0,Germany,Female,49.0,7.0,87873.39,1.0,0.0,0.0,79082.76,1.0
85,15569595.0,Chukwueloka,714.0,Germany,Male,28.0,2.0,116936.81,2.0,0.0,1.0,177644.52,0.0
86,15604588.0,Tsou,667.0,France,Female,66.0,7.0,0.0,1.0,1.0,1.0,173617.09,0.0
87,15671779.0,Ch'ien,645.0,France,Male,37.0,6.0,131283.11,1.0,1.0,0.0,114448.77,1.0
88,15665340.0,Fyodorov,651.0,France,Male,41.0,6.0,0.0,2.0,1.0,0.0,61324.87,0.0
89,15665062.0,Chukwumaobim,584.0,Germany,Female,35.0,4.0,101609.01,1.0,1.0,1.0,176770.79,0.0
90,15643908.0,Chukwuemeka,725.0,France,Female,25.0,1.0,166594.78,1.0,0.0,0.0,62389.35,0.0
91,15593897.0,Ch'ien,721.0,France,Male,33.0,6.0,129838.54,1.0,1.0,0.0,142911.99,0.0
92,15642735.0,Ch'eng,755.0,France,Female,31.0,6.0,0.0,1.0,1.0,0.0,107876.2,0.0
93,15656937.0,Pisano,678.0,Germany,Male,44.0,0.0,125167.02,2.0,1.0,1.0,173386.95,0.0
94,15679024.0,Nkemdilim,845.0,Spain,Male,49.0,1.0,123863.64,2.0,1.0,0.0,82978.96,1.0
95,15811947.0,Ebelechukwu,473.0,France,Male,41.0,3.0,0.0,2.0,1.0,1.0,147797.54,0.0
96,15598884.0,Nkemakonam,649.0,France,Female,42.0,3.0,0.0,1.0,0.0,1.0,143096.49,1.0
97,15670584.0,Kao,594.0,France,Male,43.0,8.0,0.0,2.0,1.0,1.0,170835.32,0.0
98,15743817.0,Cremonesi,687.0,Spain,Male,42.0,2.0,0.0,1.0,1.0,0.0,58974.0,0.0
99,15694558.0,H?,607.0,France,Female,34.0,1.0,0.0,2.0,1.0,1.0,173365.9,1.0
100,15767954.0,Ku,716.0,France,Male,36.0,1.0,0.0,1.0,1.0,0.0,63736.17,0.0
101,15682467.0,Aksenov,651.0,France,Male,45.0,3.0,120170.07,1.0,1.0,0.0,136869.31,0.0
102,15691446.0,Smeaton,531.0,Spain,Male,39.0,2.0,0.0,1.0,1.0,0.0,84927.42,1.0
103,15790763.0,K?,516.0,France,Female,30.0,3.0,0.0,2.0,1.0,1.0,153392.28,0.0
104,15783875.0,Walker,556.0,Germany,Male,71.0,8.0,106723.28,1.0,0.0,0.0,49848.86,1.0
105,15664772.0,Nnaife,564.0,France,Male,38.0,5.0,0.0,1.0,1.0,0.0,97416.34,1.0
106,15682268.0,Martin,592.0,Germany,Male,41.0,4.0,129810.6,1.0,1.0,0.0,117031.2,0.0
107,15792679.0,Hsia,697.0,France,Male,42.0,1.0,0.0,1.0,0.0,1.0,145562.4,0.0
108,15594862.0,Chiu,605.0,Spain,Male,34.0,3.0,0.0,2.0,1.0,1.0,158891.79,0.0
109,15602551.0,Yashina,828.0,France,Male,29.0,0.0,141581.71,1.0,1.0,1.0,81292.29,0.0
110,15582910.0,L?,659.0,France,Female,31.0,3.0,0.0,2.0,1.0,0.0,122379.54,0.0
111,15664897.0,Chukwueloka,621.0,Spain,Female,33.0,4.0,0.0,2.0,0.0,1.0,129984.2,0.0
112,15673619.0,Clements,758.0,France,Male,37.0,7.0,0.0,2.0,0.0,0.0,138780.89,0.0
113,15717010.0,Lai,622.0,Germany,Female,55.0,2.0,91955.61,4.0,1.0,1.0,133535.29,1.0
114,15726250.0,Ch'iu,680.0,France,Female,33.0,5.0,127543.11,1.0,1.0,0.0,171575.54,0.0
115,15766776.0,Okwudilichukwu,586.0,France,Female,24.0,1.0,0.0,2.0,0.0,1.0,141827.83,0.0
116,15752312.0,Trevisano,726.0,Germany,Male,56.0,9.0,108465.65,1.0,1.0,1.0,141896.74,0.0
117,15672481.0,Martin,682.0,Spain,Male,41.0,8.0,0.0,1.0,0.0,0.0,128527.83,1.0
118,15709917.0,Lucciano,516.0,France,Male,28.0,9.0,79951.9,1.0,1.0,1.0,116581.1,0.0
119,15572038.0,Onyemauchechukwu,754.0,France,Male,38.0,3.0,0.0,2.0,1.0,0.0,14081.64,0.0
120,15578098.0,Ch'iu,678.0,Germany,Male,55.0,0.0,113688.63,1.0,1.0,1.0,121883.87,1.0
121,15806360.0,Dickson,663.0,France,Female,44.0,2.0,0.0,2.0,0.0,0.0,73066.72,0.0
122,15614168.0,Chibugo,739.0,France,Male,43.0,4.0,0.0,2.0,1.0,0.0,157549.6,0.0
123,15769353.0,Fisk,605.0,France,Female,37.0,6.0,0.0,2.0,0.0,1.0,176712.59,0.0
124,15796311.0,Hsia,750.0,Germany,Female,33.0,5.0,116937.09,1.0,1.0,1.0,176943.59,0.0
125,15772363.0,Fomin,634.0,France,Male,37.0,7.0,0.0,2.0,1.0,0.0,147797.54,0.0
126,15658548.0,Chidubem,632.0,France,Female,41.0,9.0,0.0,2.0,1.0,1.0,150720.39,0.0
127,15586479.0,Chiang,621.0,France,Male,38.0,6.0,0.0,2.0,1.0,0.0,100717.54,0.0
128,15642835.0,Ts'ai,587.0,Germany,Male,34.0,5.0,135947.33,2.0,1.0,0.0,85901.09,0.0
129,15677377.0,Ndubueze,714.0,France,Male,41.0,9.0,0.0,2.0,1.0,1.0,153064.91,0.0
